код меры защиты	наименование меры защиты	количество баллов
ЗИС.35.5	Обеспечение подлинности сетевых соединений (сеансов взаимодействия) внутри инфраструктуры, в том числе для защиты от подмены сетевых устройств и сервисов	18
УПД.6.2	Блокирование устройства, с которого предпринимаются попытки доступа, и (или) учетной записи пользователя при превышении пользователем ограничения количества неуспешных попыток входа	17
ЗИС.35.2	Обеспечение доверенных канала, маршрута внутри инфраструктуры между администратором, пользователем и средствами защиты информации (функциями безопасности)	16
УПД.1.9	Предоставление пользователям прав доступа к объектам доступа, основываясь на задачах, решаемых пользователями	16
УПД.2.1	Реализация дискреционного метода управления доступом, предусматривающего управление доступом субъектов доступа к объектам доступа на основе идентификационной информации субъекта и для каждого объекта доступа – списка, содержащего набор субъектов доступа (групп субъектов) и ассоциированных с ними типов доступа	15
УПД.2.2	Реализация ролевого метода управления доступом, предусматривающего управление доступом субъектов доступа к объектам доступа на основе ролей субъектов доступа (совокупность действий и обязанностей, связанных с определенным видом деятельности)	15
УПД.2.3	Реализация мандатного метода управления доступом, предусматривающего управление доступом субъектов доступа к объектам доступа на основе сопоставления классификационных меток каждого субъекта доступа и каждого объекта доступа, отражающих классификационные уровни субъектов доступа и объектов доступа, являющиеся комбинациями иерархических и неиерархических категорий	15
УПД.4.1	Разделение полномочий (ролей) пользователей, администраторов и лиц, обеспечивающих функционирование информационной системы, в соответствии с их должностными обязанностями (функциями). Определение в организационно-распорядительных документах по защите информации (документирование) полномочий (ролей) пользователей, администраторов и лиц, обеспечивающих функционирование информационной системы.	15
ЗИС.19.1	Защита информации от раскрытия, модификации и навязывания (ввода ложной информации) при ее передаче (подготовке к передаче) по каналам связи, имеющим выход за пределы контролируемой зоны	15
ЗИС.35.4	Отключение неиспользуемых сетевых протоколов компонентами инфраструктуры, хостовой операционной системы, вычислительной сети	15
ЗИС.35.1	Фильтрация сетевого трафика, в том числе между внешними сетями и внутренними, в том числе при организации сетевого обмена с сетями связи общего пользования	15
ЗИС.35.7	Семантический и статистический анализ сетевого трафика вычислительной сети	15
ЗИС.27.1	Обеспечение подлинности сетевых соединений (сеансов взаимодействия), в том числе для защиты от подмены сетевых устройств и сервисов (защита от атак типа «человек посередине»)	14
ИАФ.1.4	Многофакторная (двухфакторная) аутентификация пользователей	14
АУД.2.1	Выявление (поиск) уязвимостей, связанных с ошибками кода в программном (микропрограммном) обеспечении (общесистемном, прикладном, специальном), а также программном обеспечении средств защиты информации, правильностью установки и настройки средств защиты информации, технических средств и программного обеспечения, а также корректностью работы средств защиты информации при их взаимодействии с техническими средствами и программным обеспечением	13
УПД.14.1	Предоставление доступа только авторизованным (уполномоченным) пользователям	13
УПД.14.2	Определение типов прикладного программного обеспечения, к которым разрешен доступ авторизованным (уполномоченным) пользователям из внешних информационных систем	13
ЗИС.35.3	Контроль передачи служебных информационных сообщений, передаваемых в сетях, хостовой операционной системы, по составу, объёму и иным характеристикам	13
ЗИС.35.6	Обеспечение изоляции потоков данных, передаваемых и обрабатываемых компонентами инфраструктуры и сетевых потоков вычислительной сети	13
УПД.1.1	Определение типа учетной записи (внутреннего пользователя, внешнего пользователя системная, приложения гостевая (анонимная), временная и (или) иные типы записей)	12
УПД.1.2	Объединение учетных записей в группы (при необходимости)	12
УПД.1.3	Верификация пользователя (проверка личности пользователя, его должностных (функциональных) обязанностей) при заведении учетной записи пользователя	12
УПД.1.4	Заведение, активация, блокирование и уничтожение учетных записей пользователей	12
УПД.1.5	Пересмотр и, при необходимости, корректировка учетных записей пользователей с периодичностью, определяемой субъектом	12
УПД.1.6	Регламентация и контроль использования гостевых (анонимных) и временных учетных записей пользователей, а также привилегированных учетных записей администраторов	12
УПД.1.7	Оповещение администратора, осуществляющего управление учетными записями пользователей, об изменении сведений о пользователях, их ролях, обязанностях, полномочиях, ограничениях	12
УПД.1.8	Уничтожение временных учетных записей пользователей, предоставленных для однократного (ограниченного по времени) выполнения задач	12
УПД.5.1	Назначение прав и привилегий пользователям и запускаемым от их имени процессам, администраторам и лицам, обеспечивающим функционирование, минимально необходимых для выполнения ими своих должностных обязанностей (функций), и санкционирование доступа к объектам доступа в соответствии с минимально необходимыми правами и привилегиями	12
УПД.13.1	Установление (в том числе документальное) видов доступа, разрешенных для удаленного доступа к объектам доступа	12
УПД.13.2	Ограничение на использование удаленного доступа в соответствии с задачами (функциями), для решения которых такой доступ необходим, и предоставление удаленного доступа для каждого разрешенного вида удаленного доступа	12
УПД.13.3	Предоставление удаленного доступа только тем пользователям, которым он необходим для выполнения установленных должностных обязанностей (функций)	12
УПД.13.5	Контроль удаленного доступа пользователей (процессов запускаемых от имени пользователей) к объектам доступа до начала информационного взаимодействия (передачи защищаемой информации)	12
ЗИС.12.1	Изоляция процессов (выполнение программ) в выделенной области памяти	11
УПД.6.1	Регламентация и контроль количества неуспешных попыток входа	11
АУД.2.2	Разработка по результатам выявления (поиска) уязвимостей отчетов с описанием выявленных уязвимостей и планом мероприятий по их устранению анализ отчетов с результатами поиска уязвимостей и оценки достаточности реализованных мер защиты информации	10
АУД.2.3	Устранение выявленных уязвимостей, в том числе путем установки обновлений программного обеспечения средств защиты информации, общесистемного программного обеспечения, прикладного программного обеспечения или микропрограммного обеспечения технических средств	10
АУД.2.4	Информирование должностных лиц оператора (пользователей, администраторов, подразделения по защите информации) о результатах поиска уязвимостей и оценки достаточности реализованных мер защиты информации	10
ЗИС.2.2	Обеспечение взаимодействия информационной системы и (или) ее сегментов с иными информационными системами и сетями только через сетевые интерфейсы, которые обеспечивают управление (контроль) информационными потоками с использованием средств защиты информации (управляемые (контролируемые) сетевые интерфейсы), установленных на физическом и (или) логическом периметре информационной системы или ее отдельных сегментов (маршрутизаторов, межсетевых экранов, коммутаторов, прокси-серверов, шлюзов безопасности, средств построения виртуальных частных сетей и иных средств защиты информации)	10
ИНЦ.4.4	Проведение обучения персонала организации, включая сотрудников подразделения по защите информации, для повышения осведомленности в части обеспечения безопасности	10
УПД.10.1	Блокирование сеанса доступа пользователя после установленного Субъектом времени его бездействия (неактивности) или по запросу пользователя	10
УПД.14.3	Определение системных учетных записей, используемых в рамках данного взаимодействия	9
УПД.14.4	Определение порядка предоставления доступа авторизованными (уполномоченным) пользователями из внешних информационных систем	9
УПД.14.5	Определение порядка обработки, хранения и передачи информации с использованием внешних информационных систем	9
ЗИС.28.1	Определение объектов или типов информации, для которых требуется обеспечение неотказуемости отправки (например, сообщения электронной почты	8
ЗИС.29.1	Определение объектов или типов информации, для которых требуется обеспечение неотказуемости получения (сообщения электронной почты)	8
ИАФ.4.2	Выдача средств аутентификации пользователям генерация и выдача начальной аутентификационной информации (начальных значений средств аутентификации)	8
ИАФ.1.1	Аутентификация пользователей с применением логина и пароля	8
ИАФ.1.2	Аутентификация пользователей с применением аппаратных средств (токенов)	8
ИАФ.1.3	Аутентификация пользователей с применением одноразовых паролей	8
ИАФ.5.1	Обеспечение однозначной идентификации и аутентификации пользователей для всех видов доступа, кроме тех видов доступа, которые определяются как действия, разрешенные до идентификации и аутентификации.	8
ЗИС.3.1	Распределение средств защиты информации по разным уровням (эшелонам) защищаемой системы	8
ЗИС.20.1	Обеспечение доверенных маршрутов передачи данных между администратором (пользователем) и средствами защиты информации (функциями безопасности средств защиты информации), определяемыми оператором	8
ИНЦ.1.1	Сбор и первичная обработка информации, поступающей от источников событий информационной безопасности	8
ИНЦ.1.2	Автоматический анализ событий информационной безопасности и выявление компьютерных инцидентов (компьютерных атак)	8
ИНЦ.1.3	Ретроспективный анализ данных и выявление не обнаруженных ранее компьютерных инцидентов	8
ИНЦ.2.1	Определение механизмов оперативного информирования пользователями службы безопасности о фактах выявления компьютерного инцидента. Назначение ответственного лица за информирование НКЦКИ.	8
ИНЦ.3.1	Назначение должностного лица (группы расследования), имеющего навыки проведения подобных расследований	8
ИНЦ.3.2	Определение текущего и потенциального воздействия инцидента на организацию, идентификация затронутой инфраструктуры и определение соответствующего направления работы	8
ИНЦ.4.1	Переоценка угроз безопасности информации, повлекших возникновение инцидента	8
ИНЦ.4.2	Определение в соответствии с выявленными угрозами безопасности инофрмации мер защиты информации для минимизации выявленных угроз, в случае повторения инцидента	8
ИНЦ.4.3	Актуализация необходимых политик, регламентов, инструкций	8
ИНЦ.5.1	Совершенствование политик информационной безопасности	8
ИНЦ.5.2	Проведение дополнительного обучения сотрудников, ознакомление с правилами обращения с конфиденциальной информацией	8
ИНЦ.5.3	Разработка соответствующих регламентов	8
ИНЦ.5.4	Доведение до сотрудников информации о недопустимости несанкционированной передачи конфиденциальной информации за пределы организации и ответственности за нарушение установленных в организации правил	8
ИНЦ.5.5	Доведение до сотрудников информации о недопустимости несанкционированной передачи конфиденциальной информации за пределы организации и ответственности за нарушение установленных в организации правил	8
ИНЦ.5.6	Ограничение доступа сотрудника к конфиденциальной информации	8
ИНЦ.5.7	Вынесение предупреждений и другие меры административного характера	8
ИНЦ.5.8	Установка средств защиты информации	8
ИНЦ.5.9	Модернизация или замена компонентов информационных систем	8
ИНЦ.5.10	Пересмотр и настройка минимальных прав доступа	8
ИНЦ.5.11	Проведение аудита защищенности, тестирования на проникновение	8
ИНЦ.6.1	Регламентация правил и процедур защиты информации о событиях безопасности	8
ИНЦ.6.2	Обеспечение защиты средств выявления (регистрации) инцидентов и настроек механизмов выявления (регистрации) инцидентов	8
ИНЦ.6.3	Обеспечение доступа к записям о компьютерных инцидентах и функциям управления механизмами выявления (регистрации) инцидентов только уполномоченным должностным лицам	8
ОДТ.7.1	Выделение групп однотипных узлов, объединенных каналами передачи информации и рассматриваемых как единый программно\002технический ресурс, информационной системы в целом и (или) отдельных ее сегментов (серверов приложений, файловых серверов, серверов баз данных, средств защиты информации и иных сегментов) для обеспечения доступности информации, сервисов и механизмов защиты информации	8
УКФ.3.2	Установка (инсталляция) в информационной системе программного обеспечения и (или) его компонентов должна осуществляться только от имени администратора	8
УПД.0.1	Разработка правил и процедур (политик) управления доступом	8
УПД.7.1	Оповещение пользователей в виде сообщения («окна») при его входе (до процесса аутентификации) о том, что реализованы меры защиты информации, а также о том, что при работепользователем должны быть соблюдены установленные правила и ограничения на работу с информацией	8
УПД.8.1	Оповещение пользователя после успешного входа о дате и времени предыдущего входа от имени этого пользователя	8
УПД.9.1	Ограничение числа параллельных сеансов доступа для каждой учетной записи пользователя	8
УПД.11.1	Регламентация и контроль действий пользователей, разрешенных до прохождения ими процедур идентификации и аутентификации, и запрет действий пользователей, не включенных в перечень разрешенных действий, до прохождения ими процедур идентификации и аутентификации	8
УПД.12.1	Поддержка (обновление, назначение, изменение) и сохранение атрибутов безопасности (меток безопасности), связанных с информацией в процессе ее хранения и обработки	8
УПД.13.4	Мониторинг и контроль удаленного доступа на предмет выявления несанкционированного удаленного доступа к объектам доступа	8
ЗИС.26.1	Аутентификация сервера, являющегося источником ответов на запросы (сервер доменных имен или DNS\002сервер) по определению сетевых адресов (IP-адресов) по сетевым именам (доменные имена)	6
ЗИС.26.2	Аутентификация сервера, являющегося источником ответов на запросы (кэширующийDNS-сервер) по определению сетевых имен (доменных имен) по сетевым адресам (IP-адресам)	6
ОЦЛ.4.2	Вводимые данные должны проверяться на наличие конструкций, которые могут быть интерпретированы программно-техническими средствами информационной системы как исполняемые команды	6
АУД.5.1	Применение систем анализа сетевого трафика, предназначенных для перехвата потоков данных и обнаружения признаков сложных, чаще всего целевых атак	6
ОЦЛ.1.2	Контроль целостности компонентов программного обеспечения (за исключением средств защиты информации), определяемого оператором исходя из возможности реализации угроз безопасности информации, по наличию имен (идентификаторов) компонентов программного обеспечения и (или) по контрольным суммам в процессе загрузки и (или) динамически в процессе работы информационной системы	6
ОПО.1.1	Проведение поиска и получение обновлений программного обеспечения от доверенного источника	6
ОПО.2.1	Проведение проверки целостности программного обеспечения путем сверки контрольных сумм, предоставляемых разработчиком	6
ОПС.2.5	Определение и применение параметров настройки компонентов программного обеспечения, включая программные компоненты средств защиты информации, обеспечивающих реализацию мер защиты информации, а также устранение возможных уязвимостей информационной системы, приводящих к возникновению угроз безопасности информации	5
АВЗ.1.1	Применение средств антивирусной защиты на автоматизированных рабочих местах, серверах, периметральных средствах защиты информации (средствах межсетевого экранирования, прокси-серверах, почтовых шлюзах и других средствах защиты информации), мобильных технических средствах и иных точках доступа в информационной системе, подверженных внедрению (заражению) вредоносными компьютерными программами (вирусами) через съемные машинные носители информации или сетевые подключения, в том числе к сетям общего пользования (вложения электронной почты, веб- и другие сетевые сервисы)	5
АВЗ.1.5	Проверка в масштабе времени, близком к реальному, объектов (файлов) из внешних источников (съемных машинных носителей информации, сетевых подключений, в том числе к сетям общего пользования, и других внешних источников) при загрузке, открытии или исполнении таких файлов	5
АВЗ.2.1	Применение средств антивирусной защиты на прокси-серверах, почтовых шлюза, почтовых серверах и иных точках доступа в информационную систему, подверженных внедрению (заражению) вредоносными компьютерными программами (вирусами) через съемные машинные носители информации или сетевые подключения, в том числе к сетям общего пользования (вложения электронной почты, веб- и другие сетевые сервисы)	5
АВЗ.3.1	Проверку в масштабе времени, близком к реальному, объектов (файлов) архивных, исполняемых и зашифрованных при загрузке, открытии или исполнении таких файлов.	5
ЗИС.17.1	Мониторинг и контроль использования сервисов электронной почты (в том числе с использованием web-интерфейса) при передаче информации на внешние адреса электронной почты для всего трафика электронной почты и для всех учетных записей сервисов электронной почты	5
ЗИС.28.3	Регистрация событий, связанных с отправкой информации другому пользователю	4
ЗИС.29.3	Регистрация событий, связанных с получением информации от другого пользователя	4
ЗИС.31.1	Выявление и анализ скрытых каналов передачи информации для определения параметров передачи информации, которые могут использоваться для скрытого хранения информации и скрытой передачи информации за пределы информационной системы	4
ОЦЛ.3.1	Ограничение прав пользователей по вводу информации в информационную систему (ограничение по вводу в определенные типы объектов доступа (объекты файловой системы, объекты баз данных, объекты прикладного и специального программного обеспечения) информации исходя из задач и полномочий, решаемых пользователем в информационной системе)	4
УКФ.0.1	Разработка правил и процедур (политик) управления конфигурацией информационной (автоматизированной) системы	4
УКФ.1.1	Идентификация сетевых подключений информационной системы к внешним информационным системам и сетям	4
УКФ.1.2	Идентификация сетевых подключений внешних информационных систем и сетей к информационной системе	4
УКФ.2.2	Оценка возможных последствий от внесения изменений в конфигурацию	4
УКФ.4.1	Контроль действий по внесению изменений в информационной системе	4
УПД.3.2	Контроль доступа пользователей к процессу загрузки операционной системы	4
ЗИС.15.1	Реализация электронного почтового обмена с внешними сетями через ограниченное количество контролируемых точек	4
ЗИС.16.1	Обнаружение и реагирование на поступление незапрашиваемых электронных сообщений (писем, документов) и иной информации, не относящихся к функционированию информационной системы (защита от спама)	4
ЗИС.18.1	Ограничение доступа к сайтам или типам сайтов, запрещенных к использованию	4
ЗНИ.5.1	Определение оператором интерфейсов средств вычислительной техники, которые могут использоваться для ввода (вывода) информации, разрешенных и (или) запрещенных к использованию в инфомационной системе	4
ОЦЛ.1.1	Контроль целостности программного обеспечения средств защиты информации, включая их обновления, по наличию имен (идентификаторов) и (или) по контрольным суммам компонентов средств защиты информации в процессе загрузки и (или) динамически в процессе работы информационной системы	4
ОЦЛ.1.3	Контроль применения средств разработки и отладки программ в составе программного обеспечения информационной системы	4
ОЦЛ.1.4	Тестирование с периодичностью, установленной оператором, функций безопасности средств защиты информации, в том числе, с помощью тестирующих программ, имитирующих попытки несанкционированного доступа, и (или) специальных программных средств	4
ОЦЛ.1.5	Обеспечение физической защиты технических средств информационной системы	4
ЗИС.8.1	Воспроизведение ложных и (или) скрытие истинных отдельных информационных технологий и (или) структурно-функциональных характеристик информационной системы или ее сегментов, обеспечивающее навязывание у нарушителя ложного представления об истинных информационных технологиях и (или) структурно-функциональных характеристиках информационной системы	4
СОВ.1.1	Обнаружение (предотвращение) вторжений (компьютерных атак), направленных на преднамеренный несанкционированный доступ к информации, специальные воздействия на информацию (носители информации) в целях ее добывания, уничтожения, искажения и блокирования доступа к ней, с использованием систем обнаружения вторжений	4
ЗИС.23.1	Определение перечня мобильного кода и технологий мобильного кода разрешенных и (или) запрещенных для использования в информационной системе	4
ЗИС.23.2	Определение разрешенных мест распространения (серверы информационной системы) и использования мобильного кода (автоматизированные рабочие места, мобильные технические средства информационной системы) и функций информационной системы, для которых необходимо применение технологии мобильного кода	4
ЗИС.23.3	Регистрация и анализ событий, связанных с разработкой, приобретением или внедрением технологии мобильного кода	4
ЗИС.23.4	Исключение возможности использования запрещенного мобильного кода в информационной системе, а также внедрение мобильного кода в местах, не разрешенных для его установки	4
ИАФ.0.1	Разработка правил и процедур (политик) идентификации и аутентификации субъектов доступа и объектов доступа. Реализуется путём выполнения положений внутренних документов.	4
ИАФ.1.5	Аутентификация пользователей с применением биометрии	4
ИАФ.2.1	Определение перечня типов устройств, подлежащих аутентифкации по логическим именам (имя устройства и (или) ID), логическим адресам (например, IP-адресам) и (или) по физическим адресам (например, МАС адресам) устройства или по комбинации имени, логического и (или) физического адресов устройства	4
ИАФ.2.2	Аутентификация устройств с использованием соответствующих протоколов аутентификации или с применением криптографических методов защиты информации	4
ИАФ.3.1	Определение должностного лица (администратора) оператора, ответственного за создание, присвоение и уничтожение идентификаторов пользователей и устройств	4
ИАФ.3.2	Формирование идентификатора, который однозначно идентифицирует пользователя и (или) устройство и присвоение идентификатора пользователю и (или) устройству	4
ИАФ.3.3	Предотвращение повторного использования идентификатора пользователя и (или) устройства в течение установленного оператором периода времени	4
ИАФ.3.4	Блокирование идентификатора пользователя после установленного оператором времени неиспользования	4
ИАФ.4.1	Определение должностного лица (администратора) оператора, ответственного за хранение, выдачу, инициализацию, блокирование средств аутентификации и принятие мер в случае утраты и (или) компрометации средств аутентификации	4
ИАФ.4.3	Установление характеристик пароля устойчивых к перебору (искользование нескольких алфавитов, специальных символов, регистра)	4
ИАФ.4.4	Блокирование (прекращение действия) и замена утерянных, скомпрометированных или поврежденных средств аутентификации	4
ИАФ.4.5	Обновление аутентификационной информации (замена средств аутентификации) с периодичностью, установленной оператором	4
ИАФ.4.6	Защита аутентификационной информации от неправомерного доступа к ней и модификации	4
ИАФ.6.1	Использование протоколов аутентификации, обеспечивающих взаимную аутентификацию пользователей	4
ИАФ.7.1	Организация защиты аутентификационной информации криптографическими методами шифрования трафика. Осуществление контроля целостности передаваемой аутентификационной информации. Организация защищенной передачи данных с использованием идентификаторов. Реализация методов динамической аутентификации.	4
ИНЦ.0.1	Разработка правил и процедур (политик) реагирования на компьютерные инциденты	4
ЗИС.17.3	Определение перечня ресурсов сети Интернет, на которых высока вероятность публикации информации конфиденциального характера	3
ЗИС.17.4	Мониторинг содержания указанных выше ресурсов сети Интернет с целью возможной публикации информации конфиденциального характера	3
АУД.4.1	Определение событий безопасности в информационной системе, подлежащие регистрации, и сроки их хранения	2
ИПО.1.1	Информирование персонала об угрозах безопасности информации и о правилах безопасной работы	2
ИПО.2.1	Обучение персонала правилам безопасной работы	2
ИПО.3.1	Проведение практических занятий с персоналом по правилам безопасной работы	2
ИПО.4.1	Контроль осведомленности персонала об угрозах безопасности информации и о правилах безопасной работы	2
ОПС.3.1	Управление временными файлами, в том числе запрет, разрешение, перенаправление записи, удаление временных файлов	2
ОЦЛ.2.1	Контроль целостности с периодичностью, установленной оператором, структуры базы данных по наличию имен (идентификаторов) и (или) по контрольным суммам программных компонент базы данных в процессе загрузки и (или) динамически в процессе работы информационной системы	2
ОЦЛ.4.1	Контроль точности, полноты и правильности данных, вводимых в информационную систему, обеспечивается путем установления и проверки соблюдения форматов ввода данных, синтаксических, семантических и (или) иных правил ввода информации в информационную систему (допустимые наборы символов, размерность, область числовых значений, допустимые значения, количество символов) для подтверждения того, что ввод информации соответствует заданному оператором формату и содержанию.	2
ОЦЛ.5.1	Определение оператором типов ошибочных действий пользователей, которые потенциально могут привести к нарушению безопасности информации в информационной системе	2
ОЦЛ.5.2	Генерирование сообщений для пользователей об их ошибочных действиях и о возможности нарушения безопасности информации в информационной системе для корректировки действий пользователей	2
ЗТС.2.1	Обеспечение контролируемой зоны, в пределах которой постоянно размещаются стационарные технические средства, обрабатывающие информацию, и средства защиты информации, а также средства обеспечения функционирования	2
ЗТС.3.1	Контроль и управление физическим доступом к техническим средствам, средствам защиты информации, средствам обеспечения функционирования, а также в помещения и сооружения, в которых они установлены, исключающие несанкционированный физический доступ к средствам обработки информации, средствам защиты информации и средствам обеспечения функционирования информационной системы и помещения и сооружения, в которых они установлены	2
ОПС.1.1	Определение перечня (списка) компонентов программного обеспечения (файлов, объектов баз данных, хранимых процедур и иных компонентов), запускаемых автоматически при загрузке операционной системы средства вычислительной техники	2
ОПС.1.2	Разрешение запуска компонентов программного обеспечения, включенных в перечень (список) программного обеспечения, запускаемого автоматически при загрузке операционной системы средства вычислительной техники	2
ОПС.1.3	Ограничение запуска компонентов программного обеспечения от имени администраторов безопасности	2
ЗИС.17.2	Обеспечить мониторинг и контроль использования сети Интернет для всех средств вычислительной техники, расположенных в группах сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления доступа к сети Интернет	1
ЗИС.17.5	Мониторинг, контроль, блокирование копирования информации на переносные носители информации для всех средств вычислительной техники, мобильных устройств	1
ЗИС.17.6	Мониторинг и контроль печати и (или) копирования информации на бумажных носителях для сегментов вычислительной сети организации, предназначенных для обработки и (или) хранения информации конфиденциального характера, и для всех учетных записей, используемых для осуществления печати информации	1
ЗИС.17.7	Контроль (блокирование) возможности использования и (или) доступа к информации конфиденциального характера на переносных носителях информации за пределами информационной инфраструктуры организации для всех переносных носителей информации вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера	1
ЗИС.17.8	Блокирование возможности доступа к информации конфиденциального характера для всех средств вычислительной техники, используемых за пределами информационной инфраструктуры организации, вне зависимости от их использования для обработки и (или) хранения информации конфиденциального характера и всех информационных активов организации, к которым осуществляется удаленный доступ	1
ЗИС.17.9	Определение перечня действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, подвергаемых мониторингу и анализу для цели выявления потенциальных утечек информации. При этом рекомендуется подвергать мониторингу и анализу	1
ЗИС.17.10	Мониторинг и анализ всех действий возможных внутренних нарушителей, связанных с доступом к информационным активам конфиденциальной информации, согласно определенному перечню для всех учтенных информационных активов	1
ЗИС.17.11	Контроль передачи (выноса) всех средств вычислительной техники независимо от осуществления обработки и (или) хранения информации конфиденциального характера	1
ЗИС.17.12	Контроль физического доступа с целью предотвращения визуального и слухового ознакомления с информацией во все помещения, в которых осуществляется обработка и (или) хранение информации конфиденциального характера	1
АВЗ.1.4	Проведение периодических проверок компонентов информационной системы (автоматизированных рабочих мест, серверов, других средств вычислительной техники) на наличие вредоносных компьютерных программ (вирусов)	1
АВЗ.1.6	Оповещение администраторов безопасности в масштабе времени, близком к реальному, об обнаружении вредоносных компьютерных программ (вирусов)	1
АВЗ.1.7	Определение и выполнение действий по реагированию на обнаружение в информационной системе объектов, подвергшихся заражению вредоносными компьютерными программами (вирусами)	1
ЗИС.34.2	Резервирование информации и технических средств, программного обеспечения, каналов передачи информации	1
ОДТ.2.1	Определение сегментов информационной системы, в которых должно осуществляться резервирование технических средств, программного обеспечения, каналов передачи информации и средств обеспечения функционирования, а также перечня резервируемых средств исходя из требуемых условий обеспечения непрерывности функционирования информационной системы и доступности информации, установленных оператором	1
ОДТ.2.2	Применение резервных (дублирующих) технических средств, программного обеспечения, каналов передачи информации и (или) средств обеспечения функционирования информационной системы, обеспечивающих требуемые условия непрерывности функционирования информационной системы и доступности информации	1
ОДТ.2.3	Ввод в действие резервного технического средства, программного обеспечения, канала передачи информации или средства обеспечения функционирования при нарушении требуемых условий непрерывности функционирования информационной системы и доступности информации	1
ЗИС.7.1	Применение специально созданных (эмулированных) ложных компонентов информационной системы или создание ложных информационных систем, предназначенных для обнаружения, регистрации и анализа действий нарушителей в процессе реализации угроз безопасности информации	1
ЗИС.13.1	Защита архивных файлов, параметров настройки средств защиты информации и программного обеспечения, иных данных, не подлежащих изменению в процессе обработки информации	1
ЗИС.14.2	Загрузка и выполнение на средствах вычислительной техники, определяемых оператором, операционной системы с машинных носителей информации, доступных только для чтения	1
ЗИС.14.3	Загрузка и выполнение на средствах вычислительной техники прикладного программного обеспечения, определяемого оператором, с машинных носителей информации, доступных только для чтения	1
ОДТ.4.1	Резервное копирование информации на резервные машинные носители информации с установленной оператором периодичностью	1
ОДТ.4.4	Принятие мер для защиты резервируемой информации, обеспечивающих ее конфиденциальность, целостность и доступность	1
ОПС.2.1	Определение компонентов программного обеспечения (состава и конфигурации), подлежащих установке после загрузки операционной системы	1
ОПС.2.2	Настройка параметров установки компонентов программного обеспечения, обеспечивающая исключение установки (если осуществимо) компонентов программного обеспечения, использование которых не требуется для реализации информационной технологии	1
ОПС.2.3	Конфигурация устанавливаемых компонентов программного обеспечения (в том числе конфигурации, предусматривающие включение в домен, или не включение в домен)	1
ОПС.2.4	Контроль за установкой компонентов программного обеспечения (состав компонентов, параметры установки, конфигурация компонентов)	1
